"chao"	"shannon"	"cow"
"LE_I_5_15"	1567.444444	5.615794	"LE"
"LE_I_5_19"	3842.625	4.992942	"LE"
"LE_I_5_29"	3367.485149	5.672776	"LE"
"LE_I_5_8"	2747.383886	5.182235	"LE"
"LE_I_6_05"	2930.211207	5.679234	"LE"
"LE_I_6_12"	3867.321138	6.243976	"LE"
"LE_I_6_16"	1994.988439	5.350148	"LE"
"LE_I_6_19"	1834.904762	4.911547	"LE"
"LE_I_6_2"	1341.512195	4.691086	"LE"
"LE_I_6_21"	3123.526829	5.985155	"LE"
"LE_I_6_7"	2936.219409	5.802731	"LE"
"LE_I_7_03"	3126.032258	5.662365	"LE"
"LE_I_7_05"	1281.578231	4.633729	"LE"
"LE_I_7_10"	1625.490323	5.331851	"LE"
"LE_I_7_12"	3417.350575	5.253878	"LE"
"LE_I_7_14"	3251.398734	5.20345	"LE"
"LE_I_7_17"	1578.806667	5.181105	"LE"
"LE_I_7_19"	2646.635514	5.259029	"LE"
"LE_I_7_24"	1637.208333	5.422934	"LE"
"LE_I_7_26"	2711.183007	4.840408	"LE"
"LE_I_7_28"	1707.277174	5.629995	"LE"
"LE_I_7_31"	1347.227642	3.8465	"LE"
"LE_I_7_7"	1715.567568	4.595522	"LE"
"LE_I_8_11"	1691.521739	5.59998	"LE"
"LE_I_8_14"	1307.009524	4.900715	"LE"
"LE_I_8_2"	1661.575221	5.594512	"LE"
"LE_I_8_21"	1226.604651	5.403885	"LE"
"LE_I_8_23"	1820.145631	5.382514	"LE"
"LE_I_8_25"	1275.734266	5.498512	"LE"
"LE_I_8_28"	1521.815385	5.436396	"LE"
"LE_I_8_7"	1448	5.354453	"LE"
"LE_I_8_9"	2446.058824	5.528269	"LE"
"LE_I_9_11"	1706.475	5.56378	"LE"
"LE_I_9_6"	1717.310345	5.645625	"LE"
"LE_I_9_8"	1818.875912	5.611561	"LE"
"LE_L_1_27"	1792.473988	5.84515	"LE"
"LE_L_2_01"	2014.362637	5.505117	"LE"
"LE_L_2_15"	3220.110599	5.71041	"LE"
"LE_L_3_01"	2145.497696	5.547458	"LE"
"LE_L_3_10"	2292.697959	5.722658	"LE"
"LE_L_3_15"	1756.032258	5.529738	"LE"
"LE_L_5_5"	2114.006061	5.439606	"LE"
"LE_L_6_12"	1869.436123	5.557586	"LE"
"LE_L_6_5"	1614.073171	5.582283	"LE"
"LE_S_1_27"	2215.02907	5.724033	"LE"
"LE_S_2_1"	2208.313433	5.833453	"LE"
"LE_S_2_10"	2196.156425	5.837684	"LE"
"LE_S_2_15"	1727.548193	5.876985	"LE"
"LE_S_3_1"	1914.613861	5.926972	"LE"
"LE_S_3_10"	1969.290155	5.789417	"LE"
"LE_S_3_15"	1842.15942	5.866419	"LE"
"LE_S_6_12"	1695.172414	5.794081	"LE"
"LE_S_6_5"	1593.108247	5.762084	"LE"
